### Running wrk with 8 cores and 32 client threads, 128 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 33.624 Gbps
### Running wrk with 8 cores and 32 client threads, 256 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 40.23 Gbps
### Running wrk with 8 cores and 32 client threads, 512 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 36.971 Gbps
### Running wrk with 8 cores and 32 client threads, 1024 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 30.289 Gbps
### Running wrk with 8 cores and 64 client threads, 128 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 24.385 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 32.46 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 38.212 Gbps
### Running wrk with 8 cores and 64 client threads, 1024 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 19.267 Gbps
### Running wrk with 8 cores and 128 client threads, 256 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 35.678 Gbps
### Running wrk with 8 cores and 128 client threads, 512 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 34.93 Gbps
### Running wrk with 8 cores and 128 client threads, 1024 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 23.912 Gbps
### Running wrk with 8 cores and 256 client threads, 512 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 23.996 Gbps
### Running wrk with 8 cores and 256 client threads, 1024 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 20.301 Gbps
new value: 128
### Running wrk with 8 cores and 16 client threads, 32 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 48.765 Gbps
### Running wrk with 8 cores and 16 client threads, 64 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 59.12 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 56.48 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 53.144 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 57.501 Gbps
### Running wrk with 8 cores and 16 client threads, 1024 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 38.313 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 55.6 Gbps
### Running wrk with 8 cores and 32 client threads, 128 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 61.52 Gbps
### Running wrk with 8 cores and 32 client threads, 256 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 49.349 Gbps
### Running wrk with 8 cores and 32 client threads, 512 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 58.8 Gbps
### Running wrk with 8 cores and 32 client threads, 1024 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 44.146 Gbps
### Running wrk with 8 cores and 64 client threads, 128 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 61.92 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 59.36 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 58.16 Gbps
### Running wrk with 8 cores and 64 client threads, 1024 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 42.383 Gbps
### Running wrk with 8 cores and 128 client threads, 256 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 51.951 Gbps
### Running wrk with 8 cores and 128 client threads, 512 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 42.179 Gbps
### Running wrk with 8 cores and 128 client threads, 1024 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 20.98 Gbps
### Running wrk with 8 cores and 256 client threads, 512 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 51.777 Gbps
### Running wrk with 8 cores and 256 client threads, 1024 connections and 128KB value size for 8 seconds with mtu 4000
throughput: 44.988 Gbps
new value: 256
### Running wrk with 8 cores and 16 client threads, 32 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 68.32 Gbps
### Running wrk with 8 cores and 16 client threads, 64 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 73.2 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 74.4 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 71.92 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 65.84 Gbps
### Running wrk with 8 cores and 16 client threads, 1024 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 55.591 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 76.64 Gbps
### Running wrk with 8 cores and 32 client threads, 128 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 77.92 Gbps
### Running wrk with 8 cores and 32 client threads, 256 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 71.04 Gbps
### Running wrk with 8 cores and 32 client threads, 512 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 65.92 Gbps
### Running wrk with 8 cores and 32 client threads, 1024 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 55.653 Gbps
